Private Predicate,Private URI,Wikidata Property,Wikidata Label,Relation,Candidates
spend,http://example.org/private_kb/spend,wdt:P4447,minimum spend bonus,owl:equivalentProperty,wdt:P4447=minimum spend bonus
issue In,http://example.org/private_kb/issueIn,wdt:P562,central bank/issuer,owl:equivalentProperty,wdt:P562=central bank/issuer; wdt:P433=issue; wdt:P4484=INDUCKS issue ID; wdt:P5501=Brenda Tissue Ontology ID; wdt:P2378=issued by
build in,http://example.org/private_kb/buildIn,wdt:P193,main building contractor,owl:equivalentProperty,wdt:P193=main building contractor; wdt:P455=Emporis building ID; wdt:P3032=adjacent structure or building; wdt:P3059=Architectuurgids building ID; wdt:P4142=RIWAQ Registry of Historic Buildings in Palestine ID
change over,http://example.org/private_kb/changeOver,wdt:P414,stock exchange,owl:equivalentProperty,wdt:P414=stock exchange; wdt:P833=interchange station; wdt:P6541=Stack Exchange site URL; wdt:P6519=ISO 639-3 Change Request ID; wdt:P1482=Stack Exchange tag
send Under,http://example.org/private_kb/sendUnder,N/A,N/A,none,
be after,http://example.org/private_kb/beAfter,wdt:P138,named after,owl:equivalentProperty,wdt:P138=named after; wdt:P2320=aftershocks; wdt:P2680=author of afterword; wdt:P1778=forgery after; wdt:P11812=afterward owned by
orbit,http://example.org/private_kb/orbit,wdt:P621,time of object orbit decay,owl:equivalentProperty,wdt:P621=time of object orbit decay; wdt:P522=type of orbit; wdt:P491=orbit diagram; wdt:P2045=orbital inclination; wdt:P2146=orbital period
join By,http://example.org/private_kb/joinBy,wdt:P2738,disjoint union of,owl:equivalentProperty,wdt:P2738=disjoint union of; wdt:P2832=Joint Electronics Type Designation Automated System designation; wdt:P7122=opinion joined by
be Unlike,http://example.org/private_kb/beUnlike,N/A,N/A,none,
stephen.e.cole@nasa.gov,http://example.org/private_kb/stephen.e.cole@nasa.gov,N/A,N/A,none,
build,http://example.org/private_kb/build,wdt:P193,main building contractor,owl:equivalentProperty,wdt:P193=main building contractor; wdt:P455=Emporis building ID; wdt:P3032=adjacent structure or building; wdt:P3059=Architectuurgids building ID; wdt:P4142=RIWAQ Registry of Historic Buildings in Palestine ID
move from,http://example.org/private_kb/moveFrom,N/A,N/A,none,
retire after,http://example.org/private_kb/retireAfter,wdt:P730,service retirement,owl:equivalentProperty,wdt:P730=service retirement; wdt:P3001=retirement age
launch,http://example.org/private_kb/launch,wdt:P619,UTC date of spacecraft launch,owl:equivalentProperty,wdt:P619=UTC date of spacecraft launch; wdt:P375=space launch vehicle; wdt:P1079=launch contractor; wdt:P3802=Launchpad.net project ID; wdt:P7784=LaunchBox Games Database developer ID
use With,http://example.org/private_kb/useWith,N/A,N/A,none,
astronaut By,http://example.org/private_kb/astronautBy,wdt:P450,astronaut mission,owl:equivalentProperty,wdt:P450=astronaut mission; wdt:P12518=Encyclopedia Astronautica ID
say on,http://example.org/private_kb/sayOn,wdt:P2268,Musée d'Orsay artist or personality ID,owl:equivalentProperty,wdt:P2268=Musée d'Orsay artist or personality ID; wdt:P4659=Musée d'Orsay artwork ID; wdt:P9470=HistoryLink essay number; wdt:P12979=Say Who ID; wdt:P12325=Sayed Ganj Balochi Glossary ID
visit on,http://example.org/private_kb/visitOn,wdt:P1174,visitors per year,owl:equivalentProperty,wdt:P1174=visitors per year; wdt:P2872=visitor center; wdt:P8083=Visit Tuscany ID; wdt:P11801=visited by
transfer to,http://example.org/private_kb/transferTo,wdt:P3699,Transfermarkt referee ID,owl:equivalentProperty,wdt:P3699=Transfermarkt referee ID; wdt:P2446=Transfermarkt player ID; wdt:P2447=Transfermarkt manager ID; wdt:P7223=Transfermarkt team ID; wdt:P7455=Transfermarkt match ID
soar into,http://example.org/private_kb/soarInto,N/A,N/A,none,
invite,http://example.org/private_kb/invite,wdt:P9078,Discord invite ID,owl:equivalentProperty,wdt:P9078=Discord invite ID
die on,http://example.org/private_kb/dieOn,wdt:P2198,average gradient,owl:equivalentProperty,wdt:P2198=average gradient; wdt:P4543=has listed ingredient; wdt:P5632=Persons of Indian Studies ID; wdt:P5616=Comédie-Française ID; wdt:P5727=Partis d'Arcadie ID
capture on,http://example.org/private_kb/captureOn,wdt:P4082,captured with,owl:equivalentProperty,wdt:P4082=captured with
carry,http://example.org/private_kb/carry,wdt:P3349,designed to carry,owl:equivalentProperty,wdt:P3349=designed to carry
remain through,http://example.org/private_kb/remainThrough,N/A,N/A,none,
receive in,http://example.org/private_kb/receiveIn,wdt:P166,award received,owl:equivalentProperty,wdt:P166=award received; wdt:P1111=votes received; wdt:P1194=received signal type
launch on,http://example.org/private_kb/launchOn,wdt:P619,UTC date of spacecraft launch,owl:equivalentProperty,wdt:P619=UTC date of spacecraft launch; wdt:P375=space launch vehicle; wdt:P1079=launch contractor; wdt:P3802=Launchpad.net project ID; wdt:P7784=LaunchBox Games Database developer ID
confirm,http://example.org/private_kb/confirm,wdt:P1674,number confirmed,owl:equivalentProperty,wdt:P1674=number confirmed
captivate Since,http://example.org/private_kb/captivateSince,N/A,N/A,none,
pursue By,http://example.org/private_kb/pursueBy,N/A,N/A,none,
land in,http://example.org/private_kb/landIn,wdt:P620,UTC date of spacecraft landing,owl:equivalentProperty,wdt:P620=UTC date of spacecraft landing; wdt:P651=Biografisch Portaal van Nederland ID; wdt:P709=Historic Environment Scotland ID; wdt:P723=Digitale Bibliotheek voor de Nederlandse Letteren author ID; wdt:P4053=Team Deutschland athlete ID
do with,http://example.org/private_kb/doWith,wdt:P501,enclave within,owl:equivalentProperty,wdt:P501=enclave within; wdt:P514=interleaves with; wdt:P47=shares border with; wdt:P1917=posttranslational modification association with; wdt:P4070=identifier shared with
move on,http://example.org/private_kb/moveOn,wdt:P756,removed feature,owl:equivalentProperty,wdt:P756=removed feature; wdt:P135=movement; wdt:P5335=Or Movement settlement ID; wdt:P5336=Or Movement regional council ID; wdt:P6939=moved by
complete By,http://example.org/private_kb/completeBy,wdt:P5349,laps completed,owl:equivalentProperty,wdt:P5349=laps completed; wdt:P2429=expected completeness; wdt:P6292=Complete BBC Micro Games Archive ID; wdt:P1418=orbits completed; wdt:P7964=corresponding HTML autocomplete attribute
travel around,http://example.org/private_kb/travelAround,wdt:P5835,World Travel Awards ID,owl:equivalentProperty,wdt:P5835=World Travel Awards ID; wdt:P10448=Traveloka hotel ID; wdt:P10560=Traveloka activities ID; wdt:P10591=traveloka restaurant ID; wdt:P11463=travel advisory category
publish,http://example.org/private_kb/publish,wdt:P123,publisher,owl:equivalentProperty,wdt:P123=publisher; wdt:P3035=ISBN publisher prefix; wdt:P4482=INDUCKS publisher ID; wdt:P2189=BiblioNet publisher ID; wdt:P4840=Directory of Czech publishers ID
